,name,year,selling_price,km_driven,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual
0,Maruti 800 AC,2007.0,60000,70000.0,1,0,0,0,0,1,0,1,0,0,1
1,Maruti Wagon R LXI Minor,2007.0,135000,50000.0,1,0,0,0,0,1,0,1,0,0,1
2,Hyundai Verna 1.6 SX,2012.0,600000,100000.0,1,0,1,0,0,0,0,1,0,0,1
3,Datsun RediGO T Option,2017.0,250000,46000.0,1,0,0,0,0,1,0,1,0,0,1
4,Honda Amaze VX i-DTEC,2014.0,450000,141000.0,2,0,1,0,0,0,0,1,0,0,1
5,Maruti Alto LX BSIII,2007.0,140000,125000.0,1,0,0,0,0,1,0,1,0,0,1
6,Hyundai Xcent 1.2 Kappa S,2016.0,550000,25000.0,1,0,0,0,0,1,0,1,0,0,1
7,Tata Indigo Grand Petrol,2014.0,240000,60000.0,2,0,0,0,0,1,0,1,0,0,1
8,Hyundai Creta 1.6 VTVT S,2015.0,850000,25000.0,1,0,0,0,0,1,0,1,0,0,1
9,Maruti Celerio Green VXI,2017.0,365000,78000.0,1,1,0,0,0,0,0,1,0,0,1
10,Chevrolet Sail 1.2 Base,2015.0,260000,35000.0,1,0,0,0,0,1,0,1,0,0,1
11,Tata Indigo Grand Petrol,2014.0,250000,100000.0,1,0,0,0,0,1,0,1,0,0,1
12,Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000,25000.0,1,0,0,0,0,1,1,0,0,1,0
14,Maruti Wagon R LXI Minor,2007.0,135000,50000.0,1,0,1,0,0,0,0,1,0,0,1
17,Honda Amaze VX i-DTEC,2014.0,450000,60000.0,2,0,1,0,0,0,0,1,0,0,1
22,Maruti Celerio Green VXI,2017.0,365000,78000.0,1,0,1,0,0,0,0,1,0,0,1
26,Maruti Ciaz VXi Plus,2015.0,585000,24000.0,1,0,0,0,0,1,1,0,0,0,1
27,Hyundai Venue SX Opt Diesel,2019.0,1195000,5000.0,1,0,1,0,0,0,1,0,0,0,1
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,390000,33000.0,2,0,1,0,0,0,0,1,0,0,1
29,Jaguar XF 2.2 Litre Luxury,2014.0,1964999,28000.0,1,0,1,0,0,0,1,0,0,1,0
30,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000,59000.0,1,0,1,0,0,0,1,0,0,1,0
31,Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000,4500.0,1,0,1,0,0,0,1,0,0,1,0
32,Audi Q5 2.0 TDI,2011.0,1190000,175900.0,1,0,1,0,0,0,1,0,0,1,0
33,Honda City V MT,2018.0,930000,14500.0,1,0,0,0,0,1,1,0,0,0,1
34,Tata Tigor 1.2 Revotron XT,2018.0,525000,15000.0,1,0,0,0,0,1,0,1,0,0,1
35,Audi A6 2.0 TDI  Design Edition,2013.0,1735000,50000.0,1,0,1,0,0,0,1,0,0,1,0
36,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000,33800.0,2,0,1,0,0,0,1,0,0,1,0
37,Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000,130400.0,2,0,1,0,0,0,1,0,0,1,0
38,Toyota Corolla Altis G AT,2016.0,900000,50000.0,1,0,0,0,0,1,0,1,0,1,0
39,Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000,80000.0,1,0,1,0,0,0,0,1,0,0,1
40,Jeep Compass 1.4 Sport Plus BSIV,2019.0,1400000,10000.0,1,0,0,0,0,1,0,1,0,0,1
41,Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000,119000.0,1,0,0,0,0,1,1,0,0,1,0
42,Hyundai i10 Magna 1.1L,2014.0,229999,60000.0,4,0,0,0,0,1,0,1,0,0,1
43,BMW 3 Series 320d Sport Line,2013.0,1550000,75800.0,2,0,1,0,0,0,1,0,0,1,0
44,Audi Q7 35 TDI Quattro Premium,2009.0,1250000,78000.0,3,0,1,0,0,0,1,0,0,1,0
45,Hyundai Elantra CRDi S,2012.0,625000,40000.0,1,0,1,0,0,0,0,1,0,0,1
46,Mahindra Scorpio 1.99 S10,2014.0,1050000,50000.0,1,0,1,0,0,0,0,1,0,0,1
47,Honda City i DTEC V,2014.0,560000,74000.0,2,0,1,0,0,0,0,1,0,0,1
48,Maruti Wagon R VXI BS IV with ABS,2014.0,290000,64000.0,2,0,0,0,0,1,0,1,0,0,1
49,Maruti Wagon R VXI BS IV,2012.0,275000,60000.0,2,0,0,0,0,1,0,1,0,0,1
50,Mahindra Scorpio LX,2009.0,411000,120000.0,2,0,1,0,0,0,0,1,0,0,1
51,Hyundai Santro Xing GLS,2009.0,150000,79000.0,3,0,0,0,0,1,0,1,0,0,1
52,Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000,15000.0,1,0,0,0,0,1,0,1,0,0,1
53,Maruti Alto LXi,2006.0,100000,80000.0,1,0,0,0,0,1,0,1,0,0,1
54,Maruti Swift Dzire VDI Optional,2017.0,725000,18500.0,1,0,1,0,0,0,1,0,0,0,1
55,Maruti Eeco 5 Seater AC BSIV,2018.0,401000,10200.0,1,0,0,0,0,1,1,0,0,0,1
56,Hyundai i20 Sportz 1.4 CRDi,2018.0,750000,29000.0,1,0,1,0,0,0,1,0,0,0,1
57,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000,28000.0,1,0,0,0,0,1,1,0,0,0,1
58,Maruti Swift ZDi BSIV,2016.0,665000,46000.0,1,0,1,0,0,0,1,0,0,0,1
59,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000,70000.0,1,0,1,0,0,0,0,1,0,0,1
60,Maruti Alto LXi,2012.0,160000,60000.0,2,0,0,0,0,1,0,1,0,0,1
61,Mahindra Jeep CL 500 MDI,1996.0,250000,35000.0,2,0,1,0,0,0,0,1,0,0,1
62,Honda City i DTEC VX,2014.0,675000,90000.0,1,0,1,0,0,0,1,0,0,0,1
63,Maruti Wagon R VXI BS IV,2013.0,300000,80000.0,1,0,0,0,0,1,1,0,0,0,1
64,Tata Indica DLS,2005.0,70000,80000.0,1,0,1,0,0,0,0,1,0,0,1
65,Hyundai EON Magna Plus,2014.0,240000,73300.0,2,0,0,0,0,1,1,0,0,0,1
66,Toyota Etios GD,2014.0,525000,92000.0,1,0,1,0,0,0,1,0,0,0,1
67,Maruti Alto LXi,2009.0,151000,66764.0,2,0,0,0,0,1,1,0,0,0,1
68,Maruti Alto LXi,2009.0,140000,100000.0,1,0,0,0,0,1,0,1,0,0,1
69,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000,350000.0,2,0,1,0,0,0,0,1,0,0,1
70,Toyota Corolla Altis Diesel D4DG,2011.0,350000,60000.0,1,0,1,0,0,0,0,1,0,0,1
71,Mahindra Scorpio 1.99 S6 Plus,2017.0,570000,60000.0,1,0,1,0,0,0,0,1,0,0,1
72,Hyundai EON Magna Plus,2018.0,300000,31000.0,1,0,0,0,0,1,0,1,0,0,1
73,Tata Indigo Classic Dicor,2007.0,100000,39000.0,1,0,1,0,0,0,0,1,0,0,1
74,Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000,120000.0,3,0,1,0,0,0,0,1,0,0,1
75,Tata Indica Vista Quadrajet LS,2014.0,125000,166000.0,4,0,1,0,0,0,0,1,0,0,1
76,Maruti Swift 1.3 VXi,2006.0,130000,110000.0,3,0,0,0,0,1,0,1,0,0,1
77,Ford EcoSport 1.5 Diesel Titanium BSIV,2017.0,925000,35000.0,1,0,1,0,0,0,0,1,0,0,1
78,Maruti Ciaz 1.3 Delta,2018.0,750000,60000.0,1,0,1,0,0,0,0,1,0,0,1
79,Honda Civic 1.8 V AT,2007.0,200000,54000.0,2,0,0,0,0,1,0,1,0,1,0
80,Hyundai i10 Sportz 1.2,2010.0,248000,63000.0,2,0,1,0,0,0,0,1,0,0,1
81,Skoda Rapid 1.5 TDI Elegance,2014.0,450000,120000.0,2,0,1,0,0,0,0,1,0,0,1
82,Hyundai Getz GLS,2005.0,80000,120000.0,3,0,0,0,0,1,0,1,0,0,1
83,Nissan Terrano XL,2014.0,650000,76000.0,2,0,0,0,0,1,0,1,0,0,1
84,Hyundai Grand i10 CRDi Sportz,2015.0,450000,80000.0,1,0,1,0,0,0,0,1,0,0,1
85,Hyundai Elite i20 Diesel Era,2019.0,650000,25000.0,1,0,1,0,0,0,0,1,0,0,1
86,Honda Amaze S i-VTEC,2016.0,495000,11958.0,1,0,0,0,0,1,1,0,0,0,1
87,Honda Brio S MT,2015.0,371000,20000.0,1,0,0,0,0,1,1,0,0,0,1
88,Hyundai Creta 1.6 SX Option,2017.0,1025000,9000.0,1,0,0,0,0,1,1,0,0,0,1
89,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000,6500.0,1,0,1,0,0,0,1,0,0,1,0
90,Mahindra XUV500 W8 2WD,2015.0,750000,70000.0,1,0,1,0,0,0,0,1,0,0,1
91,Renault Duster 85PS Diesel RxL Optional,2013.0,600000,120000.0,1,0,1,0,0,0,0,1,0,0,1
92,Hyundai Santro Xing XO,2007.0,80000,58000.0,2,0,0,0,0,1,1,0,0,0,1
93,Mahindra Bolero 2011-2019 SLE,2013.0,325000,62200.0,1,0,1,0,0,0,0,1,0,0,1
94,Audi A6 2.0 TDI Premium Plus,2014.0,1470000,34000.0,2,0,1,0,0,0,1,0,0,1,0
95,Fiat Avventura MULTIJET Emotion,2015.0,350000,53000.0,2,0,1,0,0,0,0,1,0,0,1
96,Audi A8 4.2 TDI,2013.0,2800000,60000.0,1,0,1,0,0,0,1,0,0,1,0
97,Datsun RediGO 1.0 S,2017.0,210000,15000.0,2,0,0,0,0,1,1,0,0,0,1
98,Volkswagen Jetta 1.4 TSI Comfortline,2013.0,450000,50000.0,1,0,0,0,0,1,0,1,0,0,1
99,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000,53000.0,1,0,1,0,0,0,1,0,0,1,0
100,Honda Civic 1.8 V AT,2009.0,210000,63500.0,1,0,0,0,0,1,1,0,0,1,0
101,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000,9800.0,1,0,0,0,0,1,1,0,0,1,0
102,BMW X1 sDrive 20d xLine,2017.0,2750000,13000.0,1,0,1,0,0,0,0,1,0,1,0
103,Volvo V40 D3 R Design,2018.0,1975000,21000.0,1,0,1,0,0,0,1,0,0,1,0
104,Maruti SX4 Zxi BSIII,2008.0,175000,29173.0,1,0,0,0,0,1,1,0,0,0,1
105,BMW 7 Series 730Ld,2012.0,2500000,48000.0,1,0,1,0,0,0,1,0,0,1,0
106,Mahindra Bolero Power Plus SLX,2017.0,628000,120000.0,1,0,1,0,0,0,0,1,0,0,1
107,Hyundai Sonata CRDi M/T,2010.0,600000,100000.0,1,0,1,0,0,0,0,1,0,0,1
108,Nissan Micra Active XV Petrol,2017.0,399000,30000.0,1,0,0,0,0,1,0,1,0,0,1
109,Mahindra Xylo D4,2018.0,750000,60000.0,1,0,1,0,0,0,0,1,0,0,1
110,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000,15000.0,1,0,0,0,0,1,0,1,0,0,1
111,Renault KWID RXT,2017.0,315000,16000.0,1,0,0,0,0,1,0,1,0,0,1
112,Mahindra Xylo E4 BS III,2012.0,600000,60000.0,1,0,1,0,0,0,0,1,0,0,1
113,Maruti Wagon R LXI Minor,2010.0,100000,60000.0,4,0,0,0,0,1,0,1,0,0,1
114,Maruti SX4 ZXI MT BSIV,2011.0,250000,110000.0,3,0,0,0,0,1,0,1,0,0,1
115,Renault KWID RXT,2017.0,350000,25000.0,1,0,0,0,0,1,0,1,0,0,1
116,Hyundai Creta 1.4 CRDi S,2016.0,780000,60000.0,1,0,1,0,0,0,0,1,0,0,1
117,Maruti Swift Dzire VDI,2014.0,434000,79350.0,2,0,1,0,0,0,0,1,0,0,1
118,Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000,80000.0,1,0,0,0,0,1,0,1,0,1,0
119,Mahindra Scorpio LX BSIV,2014.0,555000,90000.0,2,0,1,0,0,0,0,1,0,0,1
120,Maruti SX4 Vxi BSIII,2007.0,120000,60000.0,2,0,0,0,0,1,0,1,0,0,1
121,Maruti Ertiga VDI,2014.0,500000,120000.0,2,0,1,0,0,0,0,1,0,0,1
122,Chevrolet Beat Diesel,2013.0,165000,60000.0,2,0,1,0,0,0,0,1,0,0,1
123,Maruti Zen LX,2004.0,95000,50000.0,1,0,1,0,0,0,0,1,0,0,1
124,Maruti Baleno Delta 1.2,2018.0,550000,20000.0,1,0,0,0,0,1,0,1,0,0,1
125,Maruti Swift Vdi BSIII,2007.0,100000,110000.0,4,0,1,0,0,0,0,1,0,0,1
126,Tata Nano Lx BSIV,2012.0,100000,50000.0,2,0,0,0,0,1,0,1,0,0,1
127,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000,100000.0,1,0,1,0,0,0,0,1,0,0,1
128,Maruti Ertiga SHVS VDI,2016.0,800000,70000.0,2,0,1,0,0,0,0,1,0,0,1
129,Hyundai Creta 1.6 CRDi SX,2016.0,840000,70000.0,2,0,1,0,0,0,0,1,0,0,1
130,Honda Amaze S i-Vtech,2016.0,490000,50000.0,1,0,0,0,0,1,0,1,0,0,1
131,Tata Indica Vista Aqua 1.4 TDI,2010.0,125000,81000.0,2,0,1,0,0,0,0,1,0,0,1
132,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000,120000.0,3,0,1,0,0,0,0,1,0,0,1
133,Chevrolet Cruze LTZ,2014.0,1000000,3600.0,1,0,1,0,0,0,1,0,0,0,1
134,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000,60000.0,1,0,0,0,0,1,1,0,0,0,1
135,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000,49213.0,1,0,1,0,0,0,1,0,0,0,1
136,Hyundai i10 Sportz 1.1L,2015.0,229999,40000.0,1,0,0,0,0,1,0,1,0,0,1
137,Maruti 800 Std,1998.0,40000,40000.0,4,0,0,0,0,1,0,1,0,0,1
138,Chevrolet Spark 1.0 LS,2012.0,130000,80000.0,1,0,0,0,0,1,0,1,0,0,1
139,Hyundai EON Era Plus,2015.0,200000,70000.0,1,0,0,0,0,1,0,1,0,0,1
140,Tata Indica Vista Aqua TDI BSIII,2011.0,120000,70000.0,1,0,1,0,0,0,0,1,0,0,1
141,Hyundai Santro LP zipPlus,2003.0,75000,57000.0,1,0,1,0,0,0,0,1,0,0,1
142,Tata Bolt Quadrajet XE,2016.0,250000,120000.0,1,0,1,0,0,0,0,1,0,0,1
143,Maruti 800 AC BSIII,2005.0,100000,30000.0,1,0,0,0,0,1,0,1,0,0,1
144,Hyundai EON Era Plus,2013.0,280000,60000.0,2,0,0,0,0,1,0,1,0,0,1
145,Hyundai i20 Magna 1.2,2015.0,540000,5000.0,1,0,0,0,0,1,0,1,0,0,1
146,Hyundai i20 1.2 Asta,2018.0,700000,10000.0,1,0,0,0,0,1,0,1,0,0,1
147,Maruti Ciaz VDi Plus,2015.0,525000,100000.0,1,0,1,0,0,0,0,1,0,0,1
148,Hyundai i20 Asta 1.4 CRDi,2016.0,430000,80000.0,1,0,1,0,0,0,0,1,0,0,1
149,Hyundai Santro LE,2002.0,65000,60000.0,1,0,0,0,0,1,0,1,0,0,1
